cell,precision,traj_id,step_idx,n_steps,actor,n_tokens,n_content_tokens,U_all,U_stopfilter,U_content,mean_prob,label_fail
qwen14B-int4_retail_50runs,int4,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,4,44,agent,31,9,2.029755491298598,1.9210633199529699,2.092847373750475,0.5669724090393485,1
qwen14B-int4_retail_50runs,int4,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,6,44,agent,54,15,0.5898108287799659,0.6856275736762258,1.1426566342512767,0.7408354432515384,1
qwen14B-int4_retail_50runs,int4,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,8,44,agent,88,13,0.3053541025447924,0.27441761146776616,1.196198161977988,0.8433766186918622,1
qwen14B-int4_retail_50runs,int4,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,10,44,agent,73,22,1.2911154078749572,1.381626599191405,2.0697120668535884,0.6329624183343525,1
qwen14B-int4_retail_50runs,int4,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,12,44,agent,58,16,1.166584502339839,1.818346182927217,3.281227304600179,0.6340657821814515,1
qwen14B-int4_retail_50runs,int4,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,14,44,agent,44,11,1.1687350950269768,1.3680621232595676,3.1311187209053473,0.7193487692070142,1
qwen14B-int4_retail_50runs,int4,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,16,44,agent,60,15,0.6233056190854493,0.8175239484660076,1.6537142624457677,0.7293470084172302,1
qwen14B-int4_retail_50runs,int4,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,18,44,agent,90,31,0.6888902943952947,0.8464727878023615,1.182065343183856,0.6649650402868387,1
qwen14B-int4_retail_50runs,int4,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,20,44,agent,97,26,0.5956091901738342,0.6845361305315113,1.296686199422066,0.6813793385151186,1
qwen14B-int4_retail_50runs,int4,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,22,44,agent,70,11,0.4208362129462285,0.395683515771099,0.82076180387627,0.7816615572382923,1
qwen14B-int4_retail_50runs,int4,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,24,44,agent,58,13,3.5732984569544137,3.4884394455352083,7.7561738181572695,0.498211918088425,1
qwen14B-int4_retail_50runs,int4,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,26,44,agent,68,8,0.1637814623513068,0.13214112659893495,0.46929424442350864,0.8811357494167377,1
qwen14B-int4_retail_50runs,int4,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,28,44,agent,59,11,3.2103583337852153,3.1460824146307385,8.992968423800034,0.5146108346260324,1
qwen14B-int4_retail_50runs,int4,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,30,44,agent,58,4,0.03774699100912963,0.03588021380595126,0.16694807261228561,0.9654645262949859,1
qwen14B-int4_retail_50runs,int4,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,32,44,agent,59,14,3.41162449330074,3.2912937084814873,7.788398466472115,0.5046773183908384,1
qwen14B-int4_retail_50runs,int4,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,34,44,agent,122,25,0.382105358026359,0.3661382569442405,0.9931389462947845,0.791368861668198,1
qwen14B-int4_retail_50runs,int4,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,36,44,agent,176,31,0.29888988003379696,0.3081676294280016,0.8735790029168129,0.8296173683751743,1
qwen14B-int4_retail_50runs,int4,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,38,44,agent,353,61,0.28106911660207096,0.31662243861092887,0.9063996502854785,0.8325825272430821,1
