cell,traj_id,step_idx,U,da,label_fail
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,20,0.1025878498497497,0.34828749569979583,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,22,0.23251083374066667,0.28354036808013916,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,24,0.04626688356068172,0.5405887876238141,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,26,0.03434116412586776,0.11417691524212177,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,28,0.15503922187189473,0.26212658003123124,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,30,0.030553254548495477,0.27152257442474365,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,32,0.29528806487608145,0.09763955843599537,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,34,0.017775120518064694,0.6978255185213956,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,36,0.21672186753076436,0.3202518701553345,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,38,0.006075710218245218,0.8763373777979896,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,41,0.1747470784460724,0.43933464624942875,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,43,0.0029438837808593286,1.0,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,46,0.04930524530349542,0.7158934913183513,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,48,0.003903606166669678,1.0,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,51,0.03783943423377183,0.7149027680095873,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,53,0.004072370950973949,1.0,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,56,0.012747210238386007,0.712341540738156,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,58,0.010349688310817874,1.0,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,61,0.014429509701346583,0.7084892768608897,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,63,0.00703360490034827,1.0,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,66,0.006493873409887122,0.7206260844280845,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,68,0.0136540861072104,0.8768129504862285,1
qwen14B-int4_airline_50runs,30b588ae-c5b3-4016-8762-eea699e99e78,70,0.07130220151111286,0.5817620424514122,1
qwen14B-int4_airline_50runs,4c12256e-a97e-489f-9425-e0b66a4c0203,0,,,1
qwen14B-int4_airline_50runs,4c12256e-a97e-489f-9425-e0b66a4c0203,2,0.28074796965282817,0.0,1
qwen14B-int4_airline_50runs,4c12256e-a97e-489f-9425-e0b66a4c0203,4,0.0024913003191375793,0.0,1
qwen14B-int4_airline_50runs,4c12256e-a97e-489f-9425-e0b66a4c0203,6,0.26932774877650567,0.22909234315156937,1
qwen14B-int4_airline_50runs,4c12256e-a97e-489f-9425-e0b66a4c0203,8,0.3488487083488485,0.13950304908955352,1
qwen14B-int4_airline_50runs,4c12256e-a97e-489f-9425-e0b66a4c0203,10,0.16348679330350505,0.15010700871547064,1
qwen14B-int4_airline_50runs,4c12256e-a97e-489f-9425-e0b66a4c0203,15,0.2225276325724536,0.13148367233001268,1
qwen14B-int4_airline_50runs,4c12256e-a97e-489f-9425-e0b66a4c0203,17,0.34300300704381026,0.04309235951479744,1
qwen14B-int4_airline_50runs,7409f83a-dea4-4606-9d22-ffa58355cb81,0,,,0
qwen14B-int4_airline_50runs,7409f83a-dea4-4606-9d22-ffa58355cb81,2,0.4529476494299785,0.0,0
qwen14B-int4_airline_50runs,7409f83a-dea4-4606-9d22-ffa58355cb81,4,0.0017438654065200304,0.013105218940311008,0
qwen14B-int4_airline_50runs,7409f83a-dea4-4606-9d22-ffa58355cb81,7,0.4970433978981626,0.1575150796345302,0
qwen14B-int4_airline_50runs,7409f83a-dea4-4606-9d22-ffa58355cb81,9,0.05120505222074046,0.20443412836860209,0
qwen14B-int4_airline_50runs,7409f83a-dea4-4606-9d22-ffa58355cb81,11,0.29151496256720916,0.11852742944444929,0
qwen14B-int4_airline_50runs,7409f83a-dea4-4606-9d22-ffa58355cb81,13,0.3625327112774517,0.027428148757843742,0
qwen14B-int4_airline_50runs,7409f83a-dea4-4606-9d22-ffa58355cb81,15,0.25503918348981874,0.19063082901207176,0
qwen14B-int4_airline_50runs,7409f83a-dea4-4606-9d22-ffa58355cb81,17,0.042818218792137645,0.05078344778581099,0
qwen14B-int4_airline_50runs,7409f83a-dea4-4606-9d22-ffa58355cb81,19,0.08568525484091101,0.04581327344241895,0
qwen14B-int4_airline_50runs,7409f83a-dea4-4606-9d22-ffa58355cb81,21,0.11313974019418142,0.4126671123504638,0
qwen14B-int4_airline_50runs,7409f83a-dea4-4606-9d22-ffa58355cb81,23,0.049729060112707286,0.525533823256797,0
qwen14B-int4_airline_50runs,7409f83a-dea4-4606-9d22-ffa58355cb81,25,0.09506591618937894,0.2483804909621968,0
