cell,precision,traj_id,step_idx,n_steps,actor,n_tokens,n_content_tokens,U_all,U_stopfilter,U_content,mean_prob,label_fail
qwen14B-int4_retail_50runs,bf16,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,12,44,agent,58,16,1.225803412714105,1.8540838778168223,3.33120134845376,0.6230138778284141,1
qwen14B-int4_retail_50runs,bf16,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,14,44,agent,44,11,1.1368095139214862,1.300080760247013,3.0306751646778802,0.7016204217430897,1
qwen14B-int4_retail_50runs,bf16,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,16,44,agent,60,16,0.6698721452379227,0.9023950675894707,1.7323572263121605,0.7112589306954752,1
qwen14B-int4_retail_50runs,bf16,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,18,44,agent,90,28,0.723683660362477,0.9359031801562828,1.4463004390043872,0.6684253515685393,1
qwen14B-int4_retail_50runs,bf16,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,20,44,agent,97,27,0.6391811927412381,0.7388953858591746,1.3746210858225822,0.6758816986042356,1
qwen14B-int4_retail_50runs,bf16,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,22,44,agent,70,12,0.5328083168087562,0.5680288268732502,1.3682901250819366,0.7671997604260986,1
qwen14B-int4_retail_50runs,bf16,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,24,44,agent,58,11,3.7631264246779907,3.5634844784188293,10.273353164846247,0.5128410167041493,1
qwen14B-int4_retail_50runs,bf16,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,26,44,agent,68,7,0.16100418627947868,0.14585772019209453,0.6250717661210469,0.8858526213757858,1
qwen14B-int4_retail_50runs,bf16,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,28,44,agent,59,10,3.5958775154218925,3.4213698294253274,11.280881643295288,0.512900133383016,1
qwen14B-int4_retail_50runs,bf16,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,30,44,agent,58,5,0.052540550338575985,0.05095400689063732,0.24294071793556213,0.9540529552803627,1
qwen14B-int4_retail_50runs,bf16,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,32,44,agent,59,12,3.4370411111769,3.207836190444228,8.695851465066275,0.49679306306844795,1
qwen14B-int4_retail_50runs,bf16,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,34,44,agent,122,23,0.37585435998920375,0.3560665800581774,1.0189236175754797,0.7857651290573398,1
qwen14B-int4_retail_50runs,bf16,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,36,44,agent,176,29,0.29792689456251165,0.3073673250774376,0.908870422120752,0.8312071538866771,1
qwen14B-int4_retail_50runs,bf16,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,38,44,agent,353,60,0.3135519481820912,0.36142273615957377,1.033396489173174,0.8258368706237031,1
qwen14B-int4_retail_50runs,bf16,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,40,44,agent,322,67,0.36329495712108734,0.3940514208112787,0.9866908026942566,0.785783959416145,1
qwen14B-int4_retail_50runs,bf16,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,42,44,agent,214,35,0.4373197569886061,0.4567261545012931,1.5539168594138963,0.8133539046410124,1
qwen14B-int4_retail_50runs,bf16,4287708a-772a-45c1-850f-0bed0fd939be,2,38,agent,40,12,3.462860205177276,4.736607739729073,7.1338427774608135,0.47248032268282775,1
qwen14B-int4_retail_50runs,bf16,4287708a-772a-45c1-850f-0bed0fd939be,4,38,agent,73,21,3.566440967132368,3.4009280131380195,6.276362645484152,0.5019366948026193,1
qwen14B-int4_retail_50runs,bf16,4287708a-772a-45c1-850f-0bed0fd939be,6,38,agent,129,44,0.9706848541713431,1.2538609217290555,2.165819773619825,0.6486214231639761,1
qwen14B-int4_retail_50runs,bf16,4287708a-772a-45c1-850f-0bed0fd939be,8,38,agent,19,7,1.1511993502805893,1.332877635024488,1.9430418823446547,0.485795617829857,1
qwen14B-int4_retail_50runs,bf16,4287708a-772a-45c1-850f-0bed0fd939be,10,38,agent,51,13,0.3864567751375565,0.4957880993558768,1.1521479097696452,0.7630497281236369,1
qwen14B-int4_retail_50runs,bf16,4287708a-772a-45c1-850f-0bed0fd939be,12,38,agent,58,15,0.36555510204268526,0.3726502300132757,0.6965632816155751,0.756644260481331,1
