cell,variant,embedder,traj_id,step_idx,n_steps,actor,d_a_sem,d_a_lex,d_a_gated,d_oA,d_oA_calibrated,d_oU,user_is_tool_turn,label_fail
qwen32B-int4_airline_50runs,verbalized,bge-m3,934a7dd7-2412-4b7b-9120-0b0c1f2a7458,13,18,user,,,,,,0.2130950689315796,0,0
qwen32B-int4_airline_50runs,verbalized,bge-m3,934a7dd7-2412-4b7b-9120-0b0c1f2a7458,14,18,agent,0.7643103003501892,0.16666666666666666,0.0,0.29407382011413574,-0.055655479431152344,,0,0
qwen32B-int4_airline_50runs,verbalized,bge-m3,934a7dd7-2412-4b7b-9120-0b0c1f2a7458,15,18,tool,,,,,,,0,0
qwen32B-int4_airline_50runs,verbalized,bge-m3,934a7dd7-2412-4b7b-9120-0b0c1f2a7458,16,18,agent,0.7661760449409485,0.16216216216216217,0.0,,,,0,0
qwen32B-int4_airline_50runs,verbalized,bge-m3,934a7dd7-2412-4b7b-9120-0b0c1f2a7458,17,18,user,,,,,,0.4868428707122803,0,0
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,0,30,agent,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,1,30,user,,,,,,0.539315402507782,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,2,30,agent,0.47905200719833374,0.1,0.0,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,3,30,user,,,,,,0.25598227977752686,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,4,30,agent,0.5285396575927734,0.027777777777777776,0.0,0.31623131036758423,-0.08642256259918213,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,5,30,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,6,30,agent,0.7624549269676208,0.22807017543859648,0.0,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,7,30,user,,,,,,0.3346736431121826,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,8,30,agent,0.8474082350730896,0.4666666666666667,0.4666666666666667,0.4025014042854309,-0.00509728325737846,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,9,30,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,10,30,agent,0.9658538699150085,0.6923076923076923,0.0,0.3919028043746948,-0.012322081459893108,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,11,30,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,12,30,agent,0.9840385317802429,0.6923076923076923,0.0,0.3543792963027954,-0.0540621214442783,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,13,30,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,14,30,agent,0.9692552089691162,0.6923076923076923,0.0,0.3875938653945923,-0.009161531925201416,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,15,30,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,16,30,agent,0.9588064551353455,0.6923076923076923,0.0,0.37973880767822266,-0.00998661253187394,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,17,30,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,18,30,agent,0.9723200798034668,0.6923076923076923,0.0,0.39901697635650635,0.001682109302944601,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,19,30,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,20,30,agent,0.9729645252227783,0.6923076923076923,0.0,0.3791796565055847,-0.02900893158382839,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,21,30,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,22,30,agent,0.5269593000411987,0.04081632653061224,0.0,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,23,30,user,,,,,,0.3493348956108093,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,24,30,agent,0.8892853260040283,0.5714285714285714,0.0,0.3994971513748169,-0.02073177364137435,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,25,30,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,26,30,agent,0.958088755607605,0.6923076923076923,0.0,0.38454514741897583,-0.04040825366973877,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,27,30,tool,,,,,,,0,1
